StoreName,Online/Offline,URL,FullAddress,CountryShortCode,Latitude,Longitude,DataFeedURL,$$
"""Bottle Stop Avon""",online,"""http://avon.bottlestop.com""","""260 West Main St. Avon CT 6001""",US,41.8136839,-72.8532095,http://avon.bottlestop.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Best Cellars""",online,"""http://bestcellars.com/""","""23 Summit Ave. Summit NJ 7901""",US,40.7145071,-74.3566853,https://bestcellars.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Georgio's Liquors - Billerica MA""",online,"""http://billerica.georgiosliquors.com""","""446 Boston Rd. Billerica MA 1821""",US,42.559286,-71.2668185,http://billerica.georgiosliquors.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Tower Beer Wine & Spirits Buckhead""",online,"""http://buckhead.towerwinespirits.com/""","""2161 Piedmont Rd., N.E. Atlanta GA 30324 """,US,33.8155365,-84.3658288,https://buckhead.towerwinespirits.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Bottle King Chatham""",online,"""http://chatham.bottleking.com""","""41 Watchung Ave Chatham NJ 7928""",US,40.730223,-74.3819767,https://chatham.bottleking.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Tower Beer Wine & Spirits Doraville""",online,"""http://doraville.towerwinespirits.com""","""5877 Buford Highway Doraville GA 30340""",US,33.910426,-84.2649349,https://doraville.towerwinespirits.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Bottle King Dumont""",online,"""http://dumont.bottleking.com""","""95 Washington Ave Dumont NJ 7628""",US,40.9394409,-73.9936086,https://dumont.bottleking.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Bottle King East Windsor""",online,"""http://eastwindsor.bottleking.com""","""385 Route 130 East Windsor NJ 8520""",US,40.2740851,-74.5361192,https://eastwindsor.bottleking.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Kappy's Falmouth""",online,"""http://falmouth.kappys.com""","""21 Spring Bars Rd. Falmouth MA 2540""",US,41.5576003,-70.5981199,https://falmouth.kappys.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Bottle King Glen Ridge""",online,"""http://glenridge.bottleking.com""","""710 Bloomfield Ave. Glen Ridge NJ 7028""",US,40.7973732,-74.201332,https://glenridge.bottleking.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Bottle King Glen Rock""",online,"""http://glenrock.bottleking.com""","""924 Prospect St. Glen Rock NJ 7452""",US,40.9517734,-74.1079835,https://glenrock.bottleking.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Bottle King Hillsborough""",online,"""http://hillsborough.bottleking.com""","""626 Route 206 Hillsborough NJ 8853""",US,40.4923081,-74.6379931,https://hillsborough.bottleking.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Bottle King Hillsdale""",online,"""http://hillsdale.bottleking.com""","""381 Washington Ave Hillsdale NJ 7642""",US,41.0008528,-74.0409742,https://hillsdale.bottleking.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Holbrook Liquors""",online,"""http://holbrookliquors.com""","""125 Beacon Drive Holbrook NY 11741""",US,40.7735479,-73.0506737,http://holbrookliquors.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Kappy's Hyannis""",online,"""http://hyannis.kappys.com""","""333 Lyannough Rd. Hyannis MA 2601""",US,41.6625152,-70.282111,https://hyannis.kappys.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Bottle King Ledgewood""",online,"""http://ledgewood.bottleking.com""","""260 Route 10 West Ledgewood NJ 7876""",US,40.8713202,-74.6437487,https://ledgewood.bottleking.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Bottle King Livingston""",online,"""http://livingston.bottleking.com""","""343 W. Mount Pleasant Ave. Livingston NJ 7039""",US,40.7953264,-74.3395934,https://livingston.bottleking.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Bottle King Mansfield""",online,"""http://mansfield.bottleking.com""","""2028 Route 57 Hackettstown NJ 7840""",US,40.8263042,-74.8318455,https://mansfield.bottleking.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Kappy's Medford""",online,"""http://medford.kappys.com""","""10 Revere Beach Parkway Medford MA 2155""",US,42.4055047,-71.0806971,https://medford.kappys.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Bottle King Middletown""",online,"""http://middletown.bottleking.com""","""1050 Rt. 35 Middletown NJ 7748""",US,40.39684,-74.1096999,https://middletown.bottleking.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Circus Wines Middletown""",online,"""http://middletown.circuswines.com""","""853 State Highway 35 Middletown NJ 7748""",US,40.3924073,-74.0994749,http://middletown.circuswines.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Morrell & Company""",online,"""http://morrellwine.com""","""1 Rockefeller Plaza New York NY 10020""",US,40.7580629,-73.9788542,https://morrellwine.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Bottle King Morris Plains""",online,"""http://morrisplains.bottleking.com""","""246 Littleton Road Morris Plains NJ 7950""",US,40.8426975,-74.4654309,https://morrisplains.bottleking.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Bottle Stop Wine & Spirit Superstore""",online,"""http://newtown.bottlestop.com""","""5 Queen Street Newtown CT 6470""",US,41.4133498,-73.3018227,http://newtown.bottlestop.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Kappy's Norwell""",online,"""http://norwell.kappys.com""","""104 Washington St. Norwell MA 2061""",US,42.1709119,-70.8783807,https://norwell.kappys.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Kappy's Peabody""",online,"""http://peabody.kappys.com""","""175 Andover St. Peabody MA 1960""",US,42.5430977,-70.9408873,https://peabody.kappys.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Bottle King Ramsey""",online,"""http://ramsey.bottleking.com""","""476 Rt. 17 N Ramsey NJ 7446""",US,41.055482,-74.119663,https://ramsey.bottleking.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Circus Wines Red Bank""",online,"""http://redbank.circuswines.com""","""56 Newman Springs Rd. Redbank NJ 7701""",US,40.3385297,-74.0662713,http://redbank.circuswines.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Kappy's Route 1""",online,"""http://route1.kappys.com""","""325 Bennett Highway Malden MA 2148""",US,42.4439369,-71.0252927,https://route1.kappys.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Circus Wines Sea Girt""",online,"""http://seagirt.circuswines.com""","""2204 Hwy 35 Sea Girt Ave Sea Girt NJ 8750""",US,40.1346651,-74.0627442,http://seagirt.circuswines.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Circus Wines""",online,"""http://ship.circuswines.com""","""56 Newman Springs Rd. Redbank NJ 7701""",US,40.3385297,-74.0662713,http://ship.circuswines.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""CORX Wine & Liquors""",online,"""http://shop.corxwines.com""","""1205 Mamaroneck Avenue White Plains NY 10605""",US,40.9929997,-73.745901,http://shop.corxwines.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Bevmax Stamford CT""",online,"""http://stamford.bevmax.com""","""835 East Main St Stamford CT 6902""",US,41.0551828,-73.5264828,https://stamford.bevmax.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Star Wines & Liquors""",online,"""http://starwine.com""","""475 Route 17M Monroe NY 10950""",US,41.3189218,-74.1763742,http://starwine.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Bottle Stop Torrington""",online,"""http://torrington.bottlestop.com""","""31 South Main St. Torrington CT 6790""",US,41.7995513,-73.1201508,http://torrington.bottlestop.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Georgio's Liquors - Waltham MA""",online,"""http://waltham.georgiosliquors.com""","""475 Winter St. Waltham MA 2451""",US,42.3983424,-71.2622709,http://waltham.georgiosliquors.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Westbury Liquors""",online,"""http://westburyliquors.com/""","""1250 Old Country Road Westbury NY 11590""",US,40.7439608,-73.597506,http://westburyliquors.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""120 West 58 Street Wine & Liquor - Manhattan""",online,"""http://www.120west58wine.com""","""120 W 58 ST Manhattan NY 10019""",US,40.765169,-73.9776999,https://www.120west58wine.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""21st Amendment""",online,"""http://www.21stamendment.com""","""1154 West 86th St Indianapolis IN 46260""",US,39.9125932,-86.1796381,http://www.21stamendment.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""67 Wines & Liquors""",online,"""http://www.67liquor.com""","""5479 North Federal Hwy Fort Lauderdale FL 33308""",US,26.194382,-80.1129782,http://www.67liquor.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""All Star Wine & Spirits""",online,"""http://www.allstarwine.com""","""579 Troy-Schenectady Road Latham NY 12110""",US,42.7556258,-73.7608402,https://www.allstarwine.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Amity Wine and Spirit Co.""",online,"""http://www.amitywines.com""","""95 Amity Road New Haven CT 6515""",US,41.3373583,-72.9782045,http://www.amitywines.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Andover Classic Wines LLC""",online,"""http://www.andoverliquors.com""","""Shawsheen Plaza Andover MA 1810""",US,42.6600555,-71.1569636,http://www.andoverliquors.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""House of Bacchus""",online,"""http://www.bacchuswineonline.com""","""2926 Monroe Avenue Rochester NY 14621""",US,43.1102876,-77.5465374,http://www.bacchuswineonline.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Ball Square Fine Wines""",online,"""http://www.ballsquarefinewines.com""","""716 Broadway Somerville MA 2144""",US,42.3998542,-71.112706,https://www.ballsquarefinewines.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Barrel Chest Wine and Beer""",online,"""http://www.barrelchestwineandbeer.com""","""4035 Electric Rd., Suite B Roanoke VA 24018 """,US,37.2235957,-79.9827218,https://www.barrelchestwineandbeer.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Bauer Wine & Spirits""",online,"""http://www.bauerwines.com""","""330 Newbury Street Boston MA 2115""",US,42.3483236,-71.0862449,http://www.bauerwines.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Kelley's Beach Liquors and Wine Merchants""",online,"""http://www.beachliquors.net""","""247 Miracle Strip Parkway Fort Walton Beach FL 32548""",US,30.404408,-86.6022726,https://www.beachliquors.net/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Benash Liquors""",online,"""http://www.benashliquors.com""","""2405 Rt. 38 Cherry Hill NJ 8002""",US,39.9406569,-75.0085171,http://www.benashliquors.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Best Wine Purveyors""",online,"""http://www.bestwinepurveyors.com""","""210 Marble Avenue Pleasantville NY 10570""",US,41.1265419,-73.7860735,https://www.bestwinepurveyors.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Blanchards""",online,"""http://www.blanchardsliquor.com""","""418 LaGrange West Roxbury MA 2132""",US,42.2806869,-71.1586997,http://www.blanchardsliquor.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Brookline Liquor Mart""",online,"""http://www.blmwine.com""","""1354 Commonwealth Avenue Allston MA 2134""",US,42.3476514,-71.136148,http://www.blmwine.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Universal Package Store""",online,"""http://www.booze.wine""","""17 W Main St Mystic CT 6355""",US,41.3546291,-71.9695288,http://www.booze.wine/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Bourbon Scotch Beer - of Lakewood NJ""",online,"""http://www.bourbonscotchbeer.com""","""1721 Madison Ave. Lakewood NJ 8701""",US,40.1077457,-74.2189414,http://www.bourbonscotchbeer.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""B&S Zeeman Wine & Spirits""",online,"""http://www.bszeeman.com""","""47 University Place New York NY 10003""",US,40.7323199,-73.9939673,http://www.bszeeman.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Beechwood Wine & Liquors""",online,"""http://www.budgetbottle.com""","""1 Beechwood Rd Summit NJ 7901""",US,40.7170687,-74.3574145,http://www.budgetbottle.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Buy Rite of Brick-Beer Wine & Liquor""",online,"""http://www.buyritebrick.com""","""989 Burnt Tavern Rd. Brick NJ 8724""",US,40.0935857,-74.1267104,https://www.buyritebrick.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Cape Cod Package Store Fine Wine & Spirits""",online,"""http://www.capecodpackagestore.com""","""1495 Falmouth Rd Centerville MA 2632""",US,41.6570679,-70.3417884,https://www.capecodpackagestore.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Cappy's Warehouse Wine & Spirits""",online,"""http://www.cappyswineandspirits.com""","""670 Merrick Road Lynbrook NY 11563""",US,40.6611779,-73.6870066,https://www.cappyswineandspirits.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Castle Wine & Spirits""",online,"""http://www.castlewine.com""","""1439 Post Road East Westport CT 6880""",US,41.1392024,-73.3138506,https://www.castlewine.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Coastal""",online,"""http://www.coastalwine.net""","""103 North Main Street Branford CT 6405""",US,41.2847373,-72.8182211,https://www.coastalwine.net/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Cordial Fine Wine and Spirits""",online,"""http://www.cordialwine.com""","""1309 5th St. NE Washington DC 20002""",US,38.9085998,-76.997517,http://www.cordialwine.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Cost Plus Dollar Wine and Liquor""",online,"""http://www.cpdwineliquor.com""","""5100 US 98 North Lakeland FL 33809""",US,28.1080533,-81.9746665,http://www.cpdwineliquor.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Curtis Liquors""",online,"""http://www.curtisliquors.com""","""486 Columbia Street South Weymouth MA 2190""",US,42.1809254,-70.9718945,https://www.curtisliquors.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Dion's Wine""",online,"""http://www.dionswine.com""","""119 River St. Waltham MA 2453""",US,42.3698201,-71.2202732,https://www.dionswine.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Drinkbetter.com""",online,"""http://www.drinkbetter.com""","""117 Washington Ave North Haven CT 6473""",US,41.3956999,-72.8579173,https://www.drinkbetter.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Dub's Liquors and Fine Wines""",online,"""http://www.dubsonline.com""","""30 Chauncy St. Mansfield MA 2048""",US,42.0321874,-71.2164213,https://www.dubsonline.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Elephant Wine""",online,"""http://www.elephantwine.com""","""315 Kearny Ave. Kearny NJ 7032""",US,40.7617942,-74.1504663,http://www.elephantwine.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Elevation Wine Fund""",online,"""http://www.elevationwinefund.com""","""3291 St. Helena Highway North St. Helena CA 94574""",US,38.536767,-122.509253,https://www.elevationwinefund.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Kendall FineWineSpirits""",online,"""http://www.finewinespirits.com""","""10590 North Kendall Drive Miami FL 33176""",US,25.6865024,-80.3645043,https://www.finewinespirits.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Four Seasons Wine and Liquor""",online,"""http://www.fourseasonswine.com""","""333 Russell St. Hadley MA 1035""",US,42.3556383,-72.5542879,https://www.fourseasonswine.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Garnet Wines & Liquors""",online,"""http://www.garnetwine.com""","""929 Lexington Avenue New York NY 10065""",US,40.7679629,-73.9636016,http://www.garnetwine.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""GetWineOnline.com""",online,"""http://www.getwineonline.com""","""8 Joyce Rd New Rochelle NY 10801""",US,40.916542,-73.7788578,http://www.getwineonline.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Valley Discount Wines""",online,"""http://www.getwines.com""","""555 Main Street Ansonia CT 6401""",US,41.3356445,-73.0755296,http://www.getwines.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Gomes Liquors""",online,"""http://www.gomesliquors.com""","""58 Ashby State Rd Fitchburg MA 1420""",US,42.6036915,-71.8013072,https://www.gomesliquors.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Gotham Wines & Liquors""",online,"""http://www.gothamwines.com""","""2517 Broadway New York NY 10025""",US,40.793304,-73.973131,http://www.gothamwines.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
"""Grand Wine and Liquor""",online,"""http://www.grandliquors.com""","""30-05 31st St. Astoria NY 11102""",US,40.766426,-73.921397,https://www.grandliquors.com/winedirectory.asp?request=WLb&source=WINESEARCHER,
