timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1529584733051,802,196 /api/user/login/,201,Created,Thread Group 1-3,text,true,,702,534,25,25,802,0,412
1529584733043,821,196 /api/user/login/,201,Created,Thread Group 1-1,text,true,,702,534,25,25,821,0,420
1529584733161,716,196 /api/user/login/,201,Created,Thread Group 1-6,text,true,,702,534,25,25,716,0,303
1529584733043,920,196 /api/user/login/,201,Created,Thread Group 1-2,text,true,,702,534,25,25,920,0,429
1529584733241,745,196 /api/user/login/,201,Created,Thread Group 1-8,text,true,,702,534,25,25,745,0,267
1529584733122,865,196 /api/user/login/,201,Created,Thread Group 1-5,text,true,,702,534,25,25,865,0,352
1529584733083,993,196 /api/user/login/,201,Created,Thread Group 1-4,text,true,,702,534,25,25,993,0,424
1529584733374,758,196 /api/user/login/,201,Created,Thread Group 1-11,text,true,,702,534,25,25,758,0,270
1529584733201,945,196 /api/user/login/,201,Created,Thread Group 1-7,text,true,,702,534,25,25,945,0,329
1529584733293,854,196 /api/user/login/,201,Created,Thread Group 1-9,text,true,,702,534,25,25,854,0,288
1529584733441,773,196 /api/user/login/,201,Created,Thread Group 1-13,text,true,,702,534,25,25,773,0,263
1529584733336,894,196 /api/user/login/,201,Created,Thread Group 1-10,text,true,,702,534,25,25,893,0,324
1529584733414,858,196 /api/user/login/,201,Created,Thread Group 1-12,text,true,,702,534,25,25,858,0,333
1529584733497,804,196 /api/user/login/,201,Created,Thread Group 1-14,text,true,,702,534,25,25,803,0,297
1529584733530,805,196 /api/user/login/,201,Created,Thread Group 1-15,text,true,,702,534,25,25,805,0,272
1529584733641,733,196 /api/user/login/,201,Created,Thread Group 1-18,text,true,,702,534,25,25,733,0,261
1529584733561,837,196 /api/user/login/,201,Created,Thread Group 1-16,text,true,,702,534,25,25,837,0,308
1529584733723,753,196 /api/user/login/,201,Created,Thread Group 1-20,text,true,,703,534,25,25,753,0,278
1529584733683,803,196 /api/user/login/,201,Created,Thread Group 1-19,text,true,,703,534,25,25,803,0,302
1529584733601,890,196 /api/user/login/,201,Created,Thread Group 1-17,text,true,,702,534,25,25,890,0,323
1529584733803,772,196 /api/user/login/,201,Created,Thread Group 1-22,text,true,,703,534,25,25,772,0,296
