Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
326 /api/community,50,1590,1495,1726,38.88,0.000%,18.30831,43.86,6.92,2453.0
460 /api/v3/oauth/token?grant_type=client_credentials&client_id=v9N8AU5LPBBueZgPGJIM7AvCgJnkKPjVF4OgHg8wt6lzFHiq&client_secret=MDlSGtbnC4KLx5M2OX95ewvYed7t6NLWpN9TiyCtpJ7VSzxG&country_code=IN&language_code=en_US,50,1651,1307,3118,357.05,0.000%,12.17137,5.63,6.75,474.0
Home,50,29217,11407,34171,6585.46,68.000%,1.43148,93.53,16.73,66909.2
359 /api/v0/analytics/session/start?language_code=en_US&country_code=IN,50,1782,1410,7918,1159.70,0.000%,2.00353,1.05,1.90,536.0
360 /api/v3/clients/78/force_app_update,50,15036,1285,31432,8653.66,6.000%,1.42963,0.80,0.63,570.2
361 /api/v3/clients/78/cta_buttons,50,7034,842,18013,5255.12,0.000%,1.98444,0.95,1.04,488.0
362 /api/v3/client/feed_filters,50,3722,280,18047,3594.11,0.000%,1.69843,4.00,0.73,2410.0
364 /api/v3/client/feeds,50,3534,1154,9229,2369.68,0.000%,1.73166,221.39,0.80,130916.0
365 /api/v1/groups/alt?language_code=en_US&country_code=IN,50,1309,1207,1523,90.74,0.000%,1.72521,1.64,1.27,975.0
366 /api/analytics?language_code=en_US&country_code=IN,50,536,473,783,55.29,0.000%,1.78987,0.90,1.21,513.0
369 /api/v3/client/feeds,50,3463,1447,11756,2203.39,0.000%,1.63789,51.23,0.80,32027.0
370 /api/v1/groups/alt?language_code=en_US&country_code=IN,50,1290,1192,2094,129.66,0.000%,1.69929,1.34,1.23,808.0
371 /api/analytics?language_code=en_US&country_code=IN,50,547,487,720,48.90,0.000%,1.79032,0.90,1.21,513.0
377 /api/analytics?language_code=en_US&country_code=IN,50,322,253,536,61.38,0.000%,1.80239,0.90,1.18,513.0
378 /api/v3/internal_merchandises/64,50,2211,1238,6969,1345.79,0.000%,1.69365,2.33,0.74,1411.0
379 /api/concerts/available_ticket,50,1263,1174,1483,51.00,0.000%,1.69912,1.03,1.19,621.0
380 /api/v3/clients/78/force_app_update,50,1980,1278,6083,758.46,0.000%,1.67729,0.92,0.74,561.0
381 /api/v3/clients/78/force_app_update,50,1372,269,3908,844.56,0.000%,1.75519,0.96,0.77,561.0
382 /api/v3/clients/78/force_app_update,50,1583,286,6527,1072.12,0.000%,1.69624,0.93,0.74,561.0
383 /api/v3/clients/78/force_app_update,50,1396,260,6898,1041.87,0.000%,2.08611,1.14,0.91,561.0
384 /api/concerts/block_seats?language_code=en_US&country_code=IN,50,1478,1192,3325,498.40,0.000%,2.54013,1.33,1.83,536.0
385 /api/v3/clients/78/force_app_update,50,1570,1167,2555,437.11,0.000%,2.51471,1.38,1.10,561.0
386 /api/cards,50,3975,1166,16447,4507.69,0.000%,1.42743,0.68,0.92,488.0
387 /api/v3/clients/78/force_app_update,50,1468,1176,2550,322.87,0.000%,1.41997,0.78,0.62,561.0
389 /4,50,1538,1444,1951,99.23,0.000%,1.40877,0.89,0.89,648.9
390 /,50,1507,1441,1640,45.57,0.000%,1.41415,0.61,0.96,444.0
391 /v1/tokens,50,1742,1651,1841,52.24,0.000%,1.40794,1.89,0.95,1373.0
392 /api/cards/payment?language_code=en_US&country_code=IN,50,17857,4659,24953,6332.95,0.000%,1.06243,0.54,1.07,521.0
393 /api/v3/clients/78/force_app_update,50,1455,1250,1715,76.91,0.000%,1.14354,0.63,0.50,561.0
394 /api/v3/clients/78/force_app_update,50,316,265,537,46.66,0.000%,1.16866,0.64,0.51,561.0
395 /api/v3/client/feed_filters,50,397,273,1490,277.72,0.000%,1.16719,2.75,0.50,2410.0
396 /api/v3/clients/78/cta_buttons,50,1393,281,1779,374.73,0.000%,1.14824,0.55,0.60,488.0
TOTAL,1600,3610,253,34171,6544.11,2.312%,12.30665,95.22,11.28,7922.9
