Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Login,536,413,319,10878,546.88,0.000%,.09260,0.04,0.01,388.0
1 /plugins/servlet/oauth/authorize,536,1205,740,17268,1151.33,0.933%,.09259,0.81,0.09,8994.9
3 /login.jsp,536,468,259,7142,567.84,0.187%,.09265,0.75,0.06,8250.2
22 /login.jsp,536,943,556,23954,1427.27,0.373%,.09265,0.57,0.17,6267.7
32 /plugins/servlet/oauth/authorize,536,811,247,75168,3295.60,0.746%,.09267,0.48,0.07,5330.5
42 /plugins/servlet/oauth/authorize,536,577,249,20774,1252.71,99.813%,.09267,0.28,0.08,3138.1
Authenticate,536,817,627,20311,934.48,1.493%,.09268,0.02,0.02,238.3
GetIssue,535,4496,801,64820,3971.74,0.187%,.09262,31.86,0.02,352269.9
Create_issuse,535,1081,399,32199,1454.20,0.000%,.09268,0.02,0.10,217.6
TOTAL,4822,1201,247,75168,2307.67,11.530%,.83235,34.74,0.62,42733.0
